timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-03-18T00:00:00.000Z";"2025-03-18T23:59:59.999Z";"2025-03-18T00:00:00.000Z";"2025-03-18T13:54:00.000Z";"2781";0.7180898146;0.7181330952;0.6839814919;0.702081214;697365411.84;24737787800.77;"2025-03-18T23:59:59.999Z"
"2025-03-17T00:00:00.000Z";"2025-03-17T23:59:59.999Z";"2025-03-17T18:55:00.000Z";"2025-03-17T00:02:00.000Z";"2781";0.7057537506;0.7291244081;0.7052698758;0.7180916433;756343010.59;25301749008.27;"2025-03-17T23:59:59.999Z"
"2025-03-16T00:00:00.000Z";"2025-03-16T23:59:59.999Z";"2025-03-16T00:00:00.000Z";"2025-03-16T14:01:00.000Z";"2781";0.7482767699;0.7482776502;0.69903905;0.7057638171;807154726.68;24867090294.22;"2025-03-16T23:59:59.999Z"
"2025-03-15T00:00:00.000Z";"2025-03-15T23:59:59.999Z";"2025-03-15T21:43:00.000Z";"2025-03-15T08:19:00.000Z";"2781";0.7383114297;0.7584198518;0.7331422838;0.7482886089;720758317.16;26365380259.85;"2025-03-15T23:59:59.999Z"
"2025-03-14T00:00:00.000Z";"2025-03-14T23:59:59.999Z";"2025-03-14T15:38:00.000Z";"2025-03-14T00:26:00.000Z";"2781";0.7022871671;0.7483534134;0.6998527117;0.7383155272;1015277073.81;26011177621.34;"2025-03-14T23:59:59.999Z"
"2025-03-13T00:00:00.000Z";"2025-03-13T23:59:59.999Z";"2025-03-13T02:17:00.000Z";"2025-03-13T21:03:00.000Z";"2781";0.7354438099;0.7383890352;0.6925599622;0.7022887296;1195241317.35;24742020113.67;"2025-03-13T23:59:59.999Z"
"2025-03-12T00:00:00.000Z";"2025-03-12T23:59:59.999Z";"2025-03-12T13:05:00.000Z";"2025-03-12T04:46:00.000Z";"2781";0.7226342937;0.7614727221;0.7125795696;0.7354438099;1355643740.1;25910149566.64;"2025-03-12T23:59:59.999Z"
"2025-03-11T00:00:00.000Z";"2025-03-11T23:59:59.999Z";"2025-03-11T18:55:00.000Z";"2025-03-11T00:47:00.000Z";"2781";0.672594378;0.7412695375;0.653644873;0.7225870226;1875965761.56;25458862227.84;"2025-03-11T23:59:59.999Z"
"2025-03-10T00:00:00.000Z";"2025-03-10T23:59:59.999Z";"2025-03-10T09:25:00.000Z";"2025-03-10T19:01:00.000Z";"2781";0.7201491813;0.7737686952;0.6611067634;0.6725969989;1891557328.71;23695924414.85;"2025-03-10T23:59:59.999Z"
"2025-03-09T00:00:00.000Z";"2025-03-09T23:59:59.999Z";"2025-03-09T00:35:00.000Z";"2025-03-09T23:10:00.000Z";"2781";0.8046801977;0.815676096;0.712828486;0.7201491813;1597453600.1;25366687967.3;"2025-03-09T23:59:59.999Z"
"2025-03-08T00:00:00.000Z";"2025-03-08T23:59:59.999Z";"2025-03-08T01:09:00.000Z";"2025-03-08T11:43:00.000Z";"2781";0.8167999501;0.8362141272;0.7968324364;0.804691632;1184834508.91;28344226473.18;"2025-03-08T23:59:59.999Z"
"2025-03-07T00:00:00.000Z";"2025-03-07T23:59:59.999Z";"2025-03-07T00:15:00.000Z";"2025-03-07T23:19:00.000Z";"2781";0.9075517136;0.9126893608;0.811595123;0.8167996577;3480876480.05;28771135210.34;"2025-03-07T23:59:59.999Z"
"2025-03-06T00:00:00.000Z";"2025-03-06T23:59:59.999Z";"2025-03-06T01:52:00.000Z";"2025-03-06T18:43:00.000Z";"2781";0.9753639576;0.978465364;0.8882913667;0.9075523655;2621972376.51;31967794634.51;"2025-03-06T23:59:59.999Z"
"2025-03-05T00:00:00.000Z";"2025-03-05T23:59:59.999Z";"2025-03-05T10:43:00.000Z";"2025-03-05T01:07:00.000Z";"2781";0.9412464987;1.0150567927;0.9196519462;0.9753557156;3945666181.41;34356427544.37;"2025-03-05T23:59:59.999Z"
"2025-03-04T00:00:00.000Z";"2025-03-04T23:59:59.999Z";"2025-03-04T22:34:00.000Z";"2025-03-04T02:22:00.000Z";"2781";0.8552621541;0.9502572619;0.7684891448;0.9412768043;5400303546.37;33143570277.47;"2025-03-04T23:59:59.999Z"
"2025-03-03T00:00:00.000Z";"2025-03-03T23:59:59.999Z";"2025-03-03T00:04:00.000Z";"2025-03-03T20:01:00.000Z";"2781";1.1295257909;1.1342134107;0.8381943481;0.8552640253;7028104830.97;30115853126.64;"2025-03-03T23:59:59.999Z"
"2025-03-02T00:00:00.000Z";"2025-03-02T23:59:59.999Z";"2025-03-02T23:56:00.000Z";"2025-03-02T15:25:00.000Z";"2781";0.6592844208;1.1342675709;0.6461192115;1.1295030744;7647921820.32;39773340441.31;"2025-03-02T23:59:59.999Z"
"2025-03-01T00:00:00.000Z";"2025-03-01T23:59:59.999Z";"2025-03-01T22:10:00.000Z";"2025-03-01T13:56:00.000Z";"2781";0.6330521793;0.6746507612;0.6267327304;0.6592653024;585631596.95;23215002194.21;"2025-03-01T23:59:59.999Z"
"2025-02-28T00:00:00.000Z";"2025-02-28T23:59:59.999Z";"2025-02-28T00:00:00.000Z";"2025-02-28T08:26:00.000Z";"2781";0.6455811935;0.6456096024;0.5821883211;0.6330508986;1102255137.16;22291301401.66;"2025-02-28T23:59:59.999Z"
"2025-02-27T00:00:00.000Z";"2025-02-27T23:59:59.999Z";"2025-02-27T12:47:00.000Z";"2025-02-27T21:13:00.000Z";"2781";0.6450529723;0.678108942;0.6284216745;0.6455851618;683537663.7;22729351655.82;"2025-02-27T23:59:59.999Z"
"2025-02-26T00:00:00.000Z";"2025-02-26T23:59:59.999Z";"2025-02-26T03:25:00.000Z";"2025-02-26T20:25:00.000Z";"2781";0.6825857943;0.6935770845;0.634981931;0.6450382111;869010894.01;22710754265.74;"2025-02-26T23:59:59.999Z"
